cell_type,tissue,gene,rank
Astrocyte,Amygdala,MALAT1,1
Astrocyte,Amygdala,DPP10,2
Astrocyte,Amygdala,MACF1,3
Astrocyte,Amygdala,LSAMP,4
Astrocyte,Amygdala,CTNNA2,5
Astrocyte,Amygdala,GPM6A,6
Astrocyte,Amygdala,PCDH9,7
Astrocyte,Amygdala,DST,8
Astrocyte,Amygdala,PITPNC1,9
Astrocyte,Amygdala,NPAS3,10
Astrocyte,Amygdala,NRG3,11
Astrocyte,Amygdala,SLC1A2,12
Astrocyte,Amygdala,MMD2,13
Astrocyte,Amygdala,ADGRV1,14
Astrocyte,Amygdala,LUC7L3,15
Astrocyte,Amygdala,GPC5,16
Astrocyte,Amygdala,NRXN1,17
Astrocyte,Amygdala,NTM,18
Astrocyte,Amygdala,CTNND2,19
Astrocyte,Amygdala,MT-ND4,20
Astrocyte,Amygdala,PPP2R2B,21
Astrocyte,Amygdala,LRP1B,22
Astrocyte,Amygdala,SORBS1,23
Astrocyte,Amygdala,DTNA,24
Astrocyte,Amygdala,SYNE1,25
Astrocyte,Amygdala,HSP90AA1,26
Astrocyte,Amygdala,TPD52L1,27
Astrocyte,Amygdala,MSI2,28
Astrocyte,Amygdala,RORA,29
Astrocyte,Amygdala,OBI1-AS1,30
Astrocyte,Amygdala,TENM2,31
Astrocyte,Amygdala,PNISR,32
Astrocyte,Amygdala,ADGRB3,33
Astrocyte,Amygdala,NEAT1,34
Astrocyte,Amygdala,RBM25,35
Astrocyte,Amygdala,MT-CO3,36
Astrocyte,Amygdala,ARGLU1,37
Astrocyte,Amygdala,GFAP,38
Astrocyte,Amygdala,PRKCA,39
Astrocyte,Amygdala,MT-CO2,40
Astrocyte,Amygdala,ERBB4,41
Astrocyte,Amygdala,TNRC6A,42
Astrocyte,Amygdala,WWOX,43
Astrocyte,Amygdala,CADM2,44
Astrocyte,Amygdala,MIR99AHG,45
Astrocyte,Amygdala,RYR3,46
Astrocyte,Amygdala,SLC1A3,47
Astrocyte,Amygdala,QKI,48
Astrocyte,Amygdala,PRRC2C,49
Astrocyte,Amygdala,NKAIN3,50
Astrocyte,Amygdala,ZBTB20,51
Astrocyte,Amygdala,NTRK2,52
Astrocyte,Amygdala,ABLIM1,53
Astrocyte,Amygdala,MAGI2,54
Astrocyte,Amygdala,ANK2,55
Astrocyte,Amygdala,NFIA,56
Astrocyte,Amygdala,LINC00486,57
Astrocyte,Amygdala,TNIK,58
Astrocyte,Amygdala,OPHN1,59
Astrocyte,Amygdala,BAZ2B,60
Astrocyte,Amygdala,MAPK10,61
Astrocyte,Amygdala,SPARCL1,62
Astrocyte,Amygdala,MAP1B,63
Astrocyte,Amygdala,SGIP1,64
Astrocyte,Amygdala,NAV3,65
Astrocyte,Amygdala,MT-ATP6,66
Astrocyte,Amygdala,FNBP1,67
Astrocyte,Amygdala,GLIS3,68
Astrocyte,Amygdala,PRKG1,69
Astrocyte,Amygdala,ADGRL3,70
Astrocyte,Amygdala,CADM1,71
Astrocyte,Amygdala,PARD3,72
Astrocyte,Amygdala,IGFN1,73
Astrocyte,Amygdala,SOX5,74
Astrocyte,Amygdala,FMN2,75
Astrocyte,Amygdala,SLC4A4,76
Astrocyte,Amygdala,ZSWIM6,77
Astrocyte,Amygdala,FMNL2,78
Astrocyte,Amygdala,ADCY2,79
Astrocyte,Amygdala,CDH20,80
Astrocyte,Amygdala,DLG2,81
Astrocyte,Amygdala,MT-CO1,82
Astrocyte,Amygdala,LINC00632,83
Astrocyte,Amygdala,NEBL,84
Astrocyte,Amygdala,KIF1B,85
Astrocyte,Amygdala,SIK3,86
Astrocyte,Amygdala,DOCK4,87
Astrocyte,Amygdala,HIF3A,88
Astrocyte,Amygdala,SASH1,89
Astrocyte,Amygdala,SPTBN1,90
Astrocyte,Amygdala,FRMD4A,91
Astrocyte,Amygdala,XIST,92
Astrocyte,Amygdala,NRXN3,93
Astrocyte,Amygdala,DYNC2I1,94
Astrocyte,Amygdala,ENSG00000286757,95
Astrocyte,Amygdala,NCOA1,96
Astrocyte,Amygdala,RBMS3,97
Astrocyte,Amygdala,FTX,98
Astrocyte,Amygdala,RFX4,99
Astrocyte,Amygdala,PARD3B,100
Astrocyte,Anterior Cerebral Artery,MALAT1,1
Astrocyte,Anterior Cerebral Artery,DPP10,2
Astrocyte,Anterior Cerebral Artery,LSAMP,3
Astrocyte,Anterior Cerebral Artery,NPAS3,4
Astrocyte,Anterior Cerebral Artery,SLC1A2,5
Astrocyte,Anterior Cerebral Artery,PRKG1,6
Astrocyte,Anterior Cerebral Artery,CTNNA2,7
Astrocyte,Anterior Cerebral Artery,PDE4D,8
Astrocyte,Anterior Cerebral Artery,PCDH9,9
Astrocyte,Anterior Cerebral Artery,NRXN1,10
Astrocyte,Anterior Cerebral Artery,GPC5,11
Astrocyte,Anterior Cerebral Artery,ADGRV1,12
Astrocyte,Anterior Cerebral Artery,NTM,13
Astrocyte,Anterior Cerebral Artery,NRG3,14
Astrocyte,Anterior Cerebral Artery,PPP2R2B,15
Astrocyte,Anterior Cerebral Artery,GPM6A,16
Astrocyte,Anterior Cerebral Artery,MACF1,17
Astrocyte,Anterior Cerebral Artery,ERBB4,18
Astrocyte,Anterior Cerebral Artery,NEAT1,19
Astrocyte,Anterior Cerebral Artery,GRID2,20
Astrocyte,Anterior Cerebral Artery,CTNND2,21
Astrocyte,Anterior Cerebral Artery,LRP1B,22
Astrocyte,Anterior Cerebral Artery,LPP,23
Astrocyte,Anterior Cerebral Artery,DTNA,24
Astrocyte,Anterior Cerebral Artery,ANK2,25
Astrocyte,Anterior Cerebral Artery,RORA,26
Astrocyte,Anterior Cerebral Artery,MIR99AHG,27
Astrocyte,Anterior Cerebral Artery,SOX5,28
Astrocyte,Anterior Cerebral Artery,SORBS1,29
Astrocyte,Anterior Cerebral Artery,SLC1A3,30
Astrocyte,Anterior Cerebral Artery,TALAM1,31
Astrocyte,Anterior Cerebral Artery,ZBTB20,32
Astrocyte,Anterior Cerebral Artery,WWOX,33
Astrocyte,Anterior Cerebral Artery,DST,34
Astrocyte,Anterior Cerebral Artery,MSI2,35
Astrocyte,Anterior Cerebral Artery,DPP6,36
Astrocyte,Anterior Cerebral Artery,MAGI2,37
Astrocyte,Anterior Cerebral Artery,ADGRB3,38
Astrocyte,Anterior Cerebral Artery,ZFHX3,39
Astrocyte,Anterior Cerebral Artery,SYNE1,40
Astrocyte,Anterior Cerebral Artery,FGF14,41
Astrocyte,Anterior Cerebral Artery,DLG2,42
Astrocyte,Anterior Cerebral Artery,ADGRL3,43
Astrocyte,Anterior Cerebral Artery,DCLK2,44
Astrocyte,Anterior Cerebral Artery,CADM2,45
Astrocyte,Anterior Cerebral Artery,TNIK,46
Astrocyte,Anterior Cerebral Artery,MIR4300HG,47
Astrocyte,Anterior Cerebral Artery,SLC4A4,48
Astrocyte,Anterior Cerebral Artery,PITPNC1,49
Astrocyte,Anterior Cerebral Artery,DMD,50
Astrocyte,Anterior Cerebral Artery,NTRK2,51
Astrocyte,Anterior Cerebral Artery,TRPM3,52
Astrocyte,Anterior Cerebral Artery,SPARCL1,53
Astrocyte,Anterior Cerebral Artery,PRKCA,54
Astrocyte,Anterior Cerebral Artery,CACNA1C,55
Astrocyte,Anterior Cerebral Artery,NKAIN3,56
Astrocyte,Anterior Cerebral Artery,EXT1,57
Astrocyte,Anterior Cerebral Artery,RGS6,58
Astrocyte,Anterior Cerebral Artery,NFIA,59
Astrocyte,Anterior Cerebral Artery,FTX,60
Astrocyte,Anterior Cerebral Artery,HPSE2,61
Astrocyte,Anterior Cerebral Artery,CADM1,62
Astrocyte,Anterior Cerebral Artery,NAV2,63
Astrocyte,Anterior Cerebral Artery,NCOA1,64
Astrocyte,Anterior Cerebral Artery,LAMA2,65
Astrocyte,Anterior Cerebral Artery,KCNMA1,66
Astrocyte,Anterior Cerebral Artery,SLC38A1,67
Astrocyte,Anterior Cerebral Artery,PARD3B,68
Astrocyte,Anterior Cerebral Artery,TENM2,69
Astrocyte,Anterior Cerebral Artery,C1QTNF7-AS1,70
Astrocyte,Anterior Cerebral Artery,ADK,71
Astrocyte,Anterior Cerebral Artery,QKI,72
Astrocyte,Anterior Cerebral Artery,FBXL7,73
Astrocyte,Anterior Cerebral Artery,RMST,74
Astrocyte,Anterior Cerebral Artery,NRXN3,75
Astrocyte,Anterior Cerebral Artery,GPM6B,76
Astrocyte,Anterior Cerebral Artery,GABRB1,77
Astrocyte,Anterior Cerebral Artery,CALD1,78
Astrocyte,Anterior Cerebral Artery,UTRN,79
Astrocyte,Anterior Cerebral Artery,DCLK1,80
Astrocyte,Anterior Cerebral Artery,OBI1-AS1,81
Astrocyte,Anterior Cerebral Artery,AUTS2,82
Astrocyte,Anterior Cerebral Artery,NALF1,83
Astrocyte,Anterior Cerebral Artery,LINC03051,84
Astrocyte,Anterior Cerebral Artery,MBNL1,85
Astrocyte,Anterior Cerebral Artery,SOX6,86
Astrocyte,Anterior Cerebral Artery,NCAM2,87
Astrocyte,Anterior Cerebral Artery,RBMS3,88
Astrocyte,Anterior Cerebral Artery,PDLIM5,89
Astrocyte,Anterior Cerebral Artery,CACNB2,90
Astrocyte,Anterior Cerebral Artery,MAPK10,91
Astrocyte,Anterior Cerebral Artery,RYR3,92
Astrocyte,Anterior Cerebral Artery,TRIO,93
Astrocyte,Anterior Cerebral Artery,MAML2,94
Astrocyte,Anterior Cerebral Artery,GLIS3,95
Astrocyte,Anterior Cerebral Artery,LINC00299,96
Astrocyte,Anterior Cerebral Artery,SORBS2,97
Astrocyte,Anterior Cerebral Artery,NCAM1,98
Astrocyte,Anterior Cerebral Artery,SNHG14,99
Astrocyte,Anterior Cerebral Artery,FMN2,100
Astrocyte,Anterior Cingulate Cortex,MALAT1,1
Astrocyte,Anterior Cingulate Cortex,LSAMP,2
Astrocyte,Anterior Cingulate Cortex,SLC1A2,3
Astrocyte,Anterior Cingulate Cortex,PITPNC1,4
Astrocyte,Anterior Cingulate Cortex,DPP10,5
Astrocyte,Anterior Cingulate Cortex,CTNNA2,6
Astrocyte,Anterior Cingulate Cortex,GPM6A,7
Astrocyte,Anterior Cingulate Cortex,PCDH9,8
Astrocyte,Anterior Cingulate Cortex,MACF1,9
Astrocyte,Anterior Cingulate Cortex,NRXN1,10
Astrocyte,Anterior Cingulate Cortex,MT-ND4,11
Astrocyte,Anterior Cingulate Cortex,GPC5,12
Astrocyte,Anterior Cingulate Cortex,RORA,13
Astrocyte,Anterior Cingulate Cortex,NPAS3,14
Astrocyte,Anterior Cingulate Cortex,NTM,15
Astrocyte,Anterior Cingulate Cortex,NRG3,16
Astrocyte,Anterior Cingulate Cortex,ADGRV1,17
Astrocyte,Anterior Cingulate Cortex,MT-CO3,18
Astrocyte,Anterior Cingulate Cortex,MMD2,19
Astrocyte,Anterior Cingulate Cortex,CTNND2,20
Astrocyte,Anterior Cingulate Cortex,LRP1B,21
Astrocyte,Anterior Cingulate Cortex,DST,22
Astrocyte,Anterior Cingulate Cortex,DTNA,23
Astrocyte,Anterior Cingulate Cortex,SLC1A3,24
Astrocyte,Anterior Cingulate Cortex,SORBS1,25
Astrocyte,Anterior Cingulate Cortex,MSI2,26
Astrocyte,Anterior Cingulate Cortex,SYNE1,27
Astrocyte,Anterior Cingulate Cortex,ADGRB3,28
Astrocyte,Anterior Cingulate Cortex,PPP2R2B,29
Astrocyte,Anterior Cingulate Cortex,OBI1-AS1,30
Astrocyte,Anterior Cingulate Cortex,NEAT1,31
Astrocyte,Anterior Cingulate Cortex,MT-ATP6,32
Astrocyte,Anterior Cingulate Cortex,ERBB4,33
Astrocyte,Anterior Cingulate Cortex,MT-CO2,34
Astrocyte,Anterior Cingulate Cortex,CADM2,35
Astrocyte,Anterior Cingulate Cortex,ZBTB20,36
Astrocyte,Anterior Cingulate Cortex,NTRK2,37
Astrocyte,Anterior Cingulate Cortex,MT-ND3,38
Astrocyte,Anterior Cingulate Cortex,MIR99AHG,39
Astrocyte,Anterior Cingulate Cortex,ABLIM1,40
Astrocyte,Anterior Cingulate Cortex,MT-CO1,41
Astrocyte,Anterior Cingulate Cortex,QKI,42
Astrocyte,Anterior Cingulate Cortex,RYR3,43
Astrocyte,Anterior Cingulate Cortex,NKAIN3,44
Astrocyte,Anterior Cingulate Cortex,CACNB2,45
Astrocyte,Anterior Cingulate Cortex,LUC7L3,46
Astrocyte,Anterior Cingulate Cortex,MAGI2,47
Astrocyte,Anterior Cingulate Cortex,MT-ND2,48
Astrocyte,Anterior Cingulate Cortex,TENM2,49
Astrocyte,Anterior Cingulate Cortex,TNIK,50
Astrocyte,Anterior Cingulate Cortex,SOX5,51
Astrocyte,Anterior Cingulate Cortex,PRKCA,52
Astrocyte,Anterior Cingulate Cortex,TPD52L1,53
Astrocyte,Anterior Cingulate Cortex,CADM1,54
Astrocyte,Anterior Cingulate Cortex,WWOX,55
Astrocyte,Anterior Cingulate Cortex,TNRC6A,56
Astrocyte,Anterior Cingulate Cortex,ANK2,57
Astrocyte,Anterior Cingulate Cortex,HSP90AA1,58
Astrocyte,Anterior Cingulate Cortex,ELOVL5,59
Astrocyte,Anterior Cingulate Cortex,ZSWIM6,60
Astrocyte,Anterior Cingulate Cortex,SGIP1,61
Astrocyte,Anterior Cingulate Cortex,ADGRL3,62
Astrocyte,Anterior Cingulate Cortex,SAMD4A,63
Astrocyte,Anterior Cingulate Cortex,NFIA,64
Astrocyte,Anterior Cingulate Cortex,LINC03051,65
Astrocyte,Anterior Cingulate Cortex,ARGLU1,66
Astrocyte,Anterior Cingulate Cortex,MAPK10,67
Astrocyte,Anterior Cingulate Cortex,MT-ND1,68
Astrocyte,Anterior Cingulate Cortex,SLC4A4,69
Astrocyte,Anterior Cingulate Cortex,NAV3,70
Astrocyte,Anterior Cingulate Cortex,BTBD9,71
Astrocyte,Anterior Cingulate Cortex,FMN2,72
Astrocyte,Anterior Cingulate Cortex,NEBL,73
Astrocyte,Anterior Cingulate Cortex,OPHN1,74
Astrocyte,Anterior Cingulate Cortex,AHCYL2,75
Astrocyte,Anterior Cingulate Cortex,DLG2,76
Astrocyte,Anterior Cingulate Cortex,PNISR,77
Astrocyte,Anterior Cingulate Cortex,XIST,78
Astrocyte,Anterior Cingulate Cortex,MT-CYB,79
Astrocyte,Anterior Cingulate Cortex,SPARCL1,80
Astrocyte,Anterior Cingulate Cortex,PRKG1,81
