tissue,gene,rank
Amygdala,MALAT1,1
Amygdala,PCDH9,2
Amygdala,DPP10,3
Amygdala,DSCAM,4
Amygdala,MACF1,5
Amygdala,LUC7L3,6
Amygdala,FRMD4A,7
Amygdala,PTPRG,8
Amygdala,TNR,9
Amygdala,ATP10A,10
Amygdala,LSAMP,11
Amygdala,IL1RAPL1,12
Amygdala,KCNIP4,13
Amygdala,DST,14
Amygdala,RORA,15
Amygdala,NRXN1,16
Amygdala,RNF220,17
Amygdala,LRP1B,18
Amygdala,RBM25,19
Amygdala,DLG2,20
Amygdala,LHFPL3,21
Amygdala,HSP90AA1,22
Amygdala,FLT1,23
Amygdala,LRRC4C,24
Amygdala,QKI,25
Amygdala,OPCML,26
Amygdala,MMD2,27
Amygdala,LAMA2,28
Amygdala,CSMD1,29
Amygdala,PPP2R2B,30
Amygdala,MT-ND4,31
Amygdala,ARGLU1,32
Amygdala,CTNNA2,33
Amygdala,PLXDC2,34
Amygdala,MT-CO2,35
Amygdala,DLC1,36
Amygdala,PRRC2C,37
Amygdala,ANKS1B,38
Amygdala,ST6GALNAC3,39
Amygdala,CADM2,40
Amygdala,NTM,41
Amygdala,SLC6A1,42
Amygdala,DOCK4,43
Amygdala,LINC00486,44
Amygdala,LRMDA,45
Amygdala,CTNNA3,46
Amygdala,XYLT1,47
Amygdala,NPAS3,48
Amygdala,SLC44A1,49
Amygdala,KAZN,50
Amygdala,NEAT1,51
Amygdala,FMNL2,52
Amygdala,MAGI2,53
Amygdala,TRIM2,54
Amygdala,PDZD2,55
Amygdala,MT-CO3,56
Amygdala,GPM6A,57
Amygdala,PITPNC1,58
Amygdala,CALD1,59
Amygdala,NRG3,60
Amygdala,NRXN3,61
Amygdala,ADARB2,62
Amygdala,GPC5,63
Amygdala,SYNE1,64
Amygdala,DPP6,65
Amygdala,XIST,66
Amygdala,ZBTB20,67
Amygdala,ADGRB3,68
Amygdala,GRID2,69
Amygdala,NLGN1,70
Amygdala,PCDH15,71
Amygdala,SEZ6L,72
Amygdala,PNISR,73
Amygdala,MT-CO1,74
Amygdala,RBMS3,75
Amygdala,AGAP1,76
Amygdala,MECOM,77
Amygdala,FTX,78
Amygdala,RBFOX1,79
Amygdala,CEMIP,80
Amygdala,MT-ATP6,81
Amygdala,ERBB4,82
Amygdala,CTNND2,83
Amygdala,THSD4,84
Amygdala,HIP1,85
Amygdala,WWOX,86
Amygdala,SLC39A10,87
Amygdala,GNG7,88
Amygdala,ARL15,89
Amygdala,SLC1A2,90
Amygdala,ABCB1,91
Amygdala,SIK3,92
Amygdala,STOX2,93
Amygdala,SORBS1,94
Amygdala,MAP7,95
Amygdala,ATP1A2,96
Amygdala,EPN2,97
Amygdala,ADGRV1,98
Amygdala,PDE4B,99
Amygdala,SGIP1,100
Anterior Cerebral Artery,MALAT1,1
Anterior Cerebral Artery,PDE4D,2
Anterior Cerebral Artery,PRKG1,3
Anterior Cerebral Artery,LPP,4
Anterior Cerebral Artery,MYH11,5
Anterior Cerebral Artery,NEAT1,6
Anterior Cerebral Artery,CALD1,7
Anterior Cerebral Artery,TALAM1,8
Anterior Cerebral Artery,DMD,9
Anterior Cerebral Artery,CACNA1C,10
Anterior Cerebral Artery,CEMIP,11
Anterior Cerebral Artery,TAGLN,12
Anterior Cerebral Artery,ACTA2,13
Anterior Cerebral Artery,DLG2,14
Anterior Cerebral Artery,COL4A1,15
Anterior Cerebral Artery,SORBS1,16
Anterior Cerebral Artery,CARMN,17
Anterior Cerebral Artery,SORBS2,18
Anterior Cerebral Artery,LTBP1,19
Anterior Cerebral Artery,KCNMA1,20
Anterior Cerebral Artery,RORA,21
Anterior Cerebral Artery,RBPMS,22
Anterior Cerebral Artery,MIR99AHG,23
Anterior Cerebral Artery,TPM1,24
Anterior Cerebral Artery,PDE3A,25
Anterior Cerebral Artery,RGS6,26
Anterior Cerebral Artery,DSTN,27
Anterior Cerebral Artery,EXT1,28
Anterior Cerebral Artery,MACF1,29
Anterior Cerebral Artery,TPM2,30
Anterior Cerebral Artery,EBF1,31
Anterior Cerebral Artery,KAZN,32
Anterior Cerebral Artery,COL4A2,33
Anterior Cerebral Artery,ZFHX3,34
Anterior Cerebral Artery,SYNPO2,35
Anterior Cerebral Artery,CRIM1,36
Anterior Cerebral Artery,PTPRG,37
Anterior Cerebral Artery,FTX,38
Anterior Cerebral Artery,RBMS3,39
Anterior Cerebral Artery,SOX5,40
Anterior Cerebral Artery,MYL9,41
Anterior Cerebral Artery,PDE1C,42
Anterior Cerebral Artery,ZBTB20,43
Anterior Cerebral Artery,SLIT3,44
Anterior Cerebral Artery,FOXP1,45
Anterior Cerebral Artery,LAMA2,46
Anterior Cerebral Artery,ARL15,47
Anterior Cerebral Artery,IGFBP7,48
Anterior Cerebral Artery,PDZRN4,49
Anterior Cerebral Artery,MBNL1,50
Anterior Cerebral Artery,FN1,51
Anterior Cerebral Artery,NAV2,52
Anterior Cerebral Artery,SGIP1,53
