id	category	name
uuid:23d32ce1-b900-550f-9782-e92954957b5b	biolink:Gene	MALAT1
uuid:c8eac4cd-f896-51c6-be08-9314e5ea1e5f	biolink:Gene	NRCAM
uuid:a9bb2f63-6653-59df-abfb-c7948ff74b4f	biolink:Gene	KCNIP4
uuid:8b572bfd-d554-5d52-b818-437cd569e590	biolink:Gene	LHFPL3
uuid:87b0ead1-cc85-5834-951f-cb83902e20d2	biolink:Gene	OPCML
uuid:19de6b29-0789-5527-b277-7a3d985dd612	biolink:Gene	VCAN
uuid:0e27930d-8d6f-51a9-92eb-289c035f692f	biolink:Gene	DSCAM
uuid:11604bb2-dbb6-5327-9336-9abafd044933	biolink:Gene	PCDH15
uuid:a4044176-af53-5f3e-8685-020cddf0a5de	biolink:Gene	TCOF1
uuid:bb8246ed-72c8-5e2c-8556-6c15f6c8cd41	biolink:Gene	ADARB2
uuid:c705f264-ed35-59d1-bc00-c65c0d92b2ad	biolink:Gene	DLGAP1
uuid:fd555f7c-8b58-54b2-ad3a-adae6b546cb0	biolink:Gene	PPP1R12A
uuid:a8c32a43-e4c4-54f6-a7a1-c61f9ca51200	biolink:Gene	EPN2
uuid:3a985373-5e4f-5085-b120-7fc4b949b473	biolink:Gene	BPTF
uuid:031bd3b8-a035-5cd8-8917-e879fd4c4331	biolink:Gene	TNR
uuid:a89316d6-04ab-5b00-942c-6edac9653039	biolink:Gene	SCN1A
uuid:5df3f365-067d-52ac-82bc-354a0a92a36d	biolink:Gene	XYLT1
uuid:7312e0ed-45e7-5141-b271-ae60188260a5	biolink:Gene	DST
uuid:9ddc7ced-04d8-5d4f-9682-ec7757ed726b	biolink:Gene	WDFY3
uuid:bd4baf4b-9283-5a9e-8913-33ed77b5f610	biolink:Gene	DDHD1
uuid:56d23c97-6529-502b-bfea-6dac8ed62fa0	biolink:Gene	SEZ6L
uuid:11cf954a-ab41-5e20-9974-852137c47368	biolink:Gene	MAP1A
uuid:44067645-a255-5398-90b9-61023db63715	biolink:Gene	PNISR
uuid:92434229-a4c9-543a-866a-d545e1c44635	biolink:Gene	MMP16
uuid:9b712971-e9c7-5a30-b721-2fda55021109	biolink:Gene	WWOX
uuid:6710916b-4f8f-5d5f-97da-6c59ac0a67fe	biolink:Gene	ROCK2
uuid:82007f80-aaca-5aac-bff2-f7903883c247	biolink:Gene	EHBP1
uuid:e14318c9-6a69-5f98-b5c4-d17983ef52a7	biolink:Gene	LNPK
uuid:dd37c771-2363-59e4-b1d2-153d3b865df8	biolink:Gene	NCKAP5
uuid:83751111-efae-5f55-ba19-40c41f170e4d	biolink:Gene	SPEN
uuid:fba7c85c-fba5-52cb-bd66-8c197988a510	biolink:Gene	GRIA2
uuid:f94daef9-bb76-589c-a3e5-98a3fb52a8c3	biolink:Gene	KIAA1958
