id	category	name	description	provided_by
uuid:55f07977-8ac5-5f34-a10f-97062cedfc95	biolink:AnatomicalEntity	Astrocyte in Amygdala	Astrocyte in Amygdala	KIBR; Stanford University
uuid:fe1496a1-bf30-5ff0-a242-10fce032a7e2	biolink:AnatomicalEntity	Astrocyte in Anterior Cerebral Artery	Astrocyte in Anterior Cerebral Artery	KIBR; Stanford University
uuid:15cb6912-23cf-5245-b41d-14d0c2d56e3a	biolink:AnatomicalEntity	Astrocyte in Anterior Cingulate Cortex	Astrocyte in Anterior Cingulate Cortex	KIBR; Stanford University
uuid:d2cd510a-0074-5f6f-9c06-bd740e3a5452	biolink:AnatomicalEntity	Astrocyte in Basilar Artery / Circle of Willis	Astrocyte in Basilar Artery / Circle of Willis	KIBR; Stanford University
uuid:c4da1f64-7c4d-5335-9257-e72490931766	biolink:AnatomicalEntity	Astrocyte in Caudate and Putamen	Astrocyte in Caudate and Putamen	KIBR; Stanford University
uuid:85cb1066-4bad-5721-bcb2-5db344c390a8	biolink:AnatomicalEntity	Astrocyte in Cerebellum	Astrocyte in Cerebellum	KIBR; Stanford University
uuid:23a865ba-911c-574c-81ee-32f3958bd684	biolink:AnatomicalEntity	Astrocyte in Cingulum Bundle	Astrocyte in Cingulum Bundle	KIBR; Stanford University
uuid:b1eba932-3aa0-5f07-ba39-ac9f17ed8efe	biolink:AnatomicalEntity	Astrocyte in Corpus Callosum	Astrocyte in Corpus Callosum	KIBR; Stanford University
uuid:80b75e4c-025f-5fd4-bd30-a184308564d8	biolink:AnatomicalEntity	Astrocyte in Cuneus	Astrocyte in Cuneus	KIBR; Stanford University
uuid:363e93ed-c1b2-5088-8fc1-8e8cb93de5c5	biolink:AnatomicalEntity	Astrocyte in Dorsolateral Prefrontal Cortex	Astrocyte in Dorsolateral Prefrontal Cortex	KIBR; Stanford University
uuid:27af49d6-b814-5eba-9879-089ea233040f	biolink:AnatomicalEntity	Astrocyte in Entorhinal Cortex	Astrocyte in Entorhinal Cortex	KIBR; Stanford University
uuid:ad04f72e-0be1-5007-b6bc-9e5334525225	biolink:AnatomicalEntity	Astrocyte in Fornix	Astrocyte in Fornix	KIBR; Stanford University
uuid:fa69a90e-3e0a-5e1d-9d93-0634227f9544	biolink:AnatomicalEntity	Astrocyte in Fusiform Gyrus	Astrocyte in Fusiform Gyrus	KIBR; Stanford University
uuid:1e3d9760-3f90-5cb8-a329-b508825240a6	biolink:AnatomicalEntity	Astrocyte in Hippocampus and Entorhinal Cortex	Astrocyte in Hippocampus and Entorhinal Cortex	KIBR; Stanford University
uuid:95efc962-2360-5f0c-a554-c0e678a63b3b	biolink:AnatomicalEntity	Astrocyte in Inferior Frontal Gyrus	Astrocyte in Inferior Frontal Gyrus	KIBR; Stanford University
uuid:e98dd419-8de1-5e5b-9c08-190208f41499	biolink:AnatomicalEntity	Astrocyte in Inferior Parietal Lobule / Supramarginal Gyrus	Astrocyte in Inferior Parietal Lobule / Supramarginal Gyrus	KIBR; Stanford University
uuid:dd23dad7-9405-5c43-951f-0d60a85ba17c	biolink:AnatomicalEntity	Astrocyte in Inferior Temporal Gyrus	Astrocyte in Inferior Temporal Gyrus	KIBR; Stanford University
uuid:f61e5e5a-9678-5081-a20b-586da45a6481	biolink:AnatomicalEntity	Astrocyte in Insular Cortex	Astrocyte in Insular Cortex	KIBR; Stanford University
uuid:85eb0142-f4b2-5592-ac0c-791331ac78a0	biolink:AnatomicalEntity	Astrocyte in Lateral Occipital Cortex	Astrocyte in Lateral Occipital Cortex	KIBR; Stanford University
uuid:eed28b02-40f6-5c8c-9f5d-d2edee2910f0	biolink:AnatomicalEntity	Astrocyte in Lateral Temporal Gyrus	Astrocyte in Lateral Temporal Gyrus	KIBR; Stanford University
uuid:b58cc59a-9a0d-5238-977b-726bfc1d9330	biolink:AnatomicalEntity	Astrocyte in Leptomeninges	Astrocyte in Leptomeninges	KIBR; Stanford University
uuid:39230fa9-20d6-5f0a-8738-635e550ea20b	biolink:AnatomicalEntity	Astrocyte in Lingual Gyrus	Astrocyte in Lingual Gyrus	KIBR; Stanford University
uuid:2ee6b5b8-305f-50e3-9f44-2602f1745a88	biolink:AnatomicalEntity	Astrocyte in Midbrain	Astrocyte in Midbrain	KIBR; Stanford University
uuid:17850e19-575c-5332-8e1f-1b86096148e8	biolink:AnatomicalEntity	Astrocyte in Middle Cerebral Artery	Astrocyte in Middle Cerebral Artery	KIBR; Stanford University
uuid:b3338c05-f3f2-57bd-b783-a13504356ab3	biolink:AnatomicalEntity	Astrocyte in Middle Temporal Gyrus	Astrocyte in Middle Temporal Gyrus	KIBR; Stanford University
uuid:cb1c2ca3-b10b-53e4-b48d-5979595175bf	biolink:AnatomicalEntity	Astrocyte in Olfactory Bulb	Astrocyte in Olfactory Bulb	KIBR; Stanford University
uuid:46a22094-48e4-5f72-b141-b0ef5e666e23	biolink:AnatomicalEntity	Astrocyte in Orbitofrontal Cortex	Astrocyte in Orbitofrontal Cortex	KIBR; Stanford University
uuid:c3a431f3-1b67-5f1e-92b9-653038f2c929	biolink:AnatomicalEntity	Astrocyte in Parahippocampal Gyrus	Astrocyte in Parahippocampal Gyrus	KIBR; Stanford University
uuid:05d6f6ae-9770-5b73-a485-dcfbc86d6d60	biolink:AnatomicalEntity	Astrocyte in Periventricular White Matter	Astrocyte in Periventricular White Matter	KIBR; Stanford University
uuid:95db9ad5-8346-500e-b36a-b17170129420	biolink:AnatomicalEntity	Astrocyte in Pons	Astrocyte in Pons	KIBR; Stanford University
uuid:9f93381f-53ea-5bdc-9dac-13a836d0cd9b	biolink:AnatomicalEntity	Astrocyte in Posterior Cingulate Cortex	Astrocyte in Posterior Cingulate Cortex	KIBR; Stanford University
uuid:902b4edf-6e64-51a6-89a7-9172e21d51c4	biolink:AnatomicalEntity	Astrocyte in Precuneus	Astrocyte in Precuneus	KIBR; Stanford University
uuid:3a1c7cc4-938a-54b6-9dad-797d17b11d1d	biolink:AnatomicalEntity	Astrocyte in Spinal Cord	Astrocyte in Spinal Cord	KIBR; Stanford University
uuid:0c421bf8-fbb1-556e-a509-0ac5bdebad10	biolink:AnatomicalEntity	Astrocyte in Superior Frontal Gyrus / Rostromedial Prefrontal Cortex	Astrocyte in Superior Frontal Gyrus / Rostromedial Prefrontal Cortex	KIBR; Stanford University
uuid:cfbfac71-072d-5731-900d-4f0309c55031	biolink:AnatomicalEntity	Astrocyte in Superior Parietal Lobule	Astrocyte in Superior Parietal Lobule	KIBR; Stanford University
uuid:7f06ddc9-2587-5c21-af3d-6e55999ce500	biolink:AnatomicalEntity	Astrocyte in Superior Temporal Gyrus	Astrocyte in Superior Temporal Gyrus	KIBR; Stanford University
uuid:0a9a8c2a-4f42-584d-9053-78f66fa92374	biolink:AnatomicalEntity	Astrocyte in Supramarginal Gyrus	Astrocyte in Supramarginal Gyrus	KIBR; Stanford University
uuid:eaee4660-b03b-5152-abd4-0216dceba2d9	biolink:AnatomicalEntity	Astrocyte in Thalamus	Astrocyte in Thalamus	KIBR; Stanford University
uuid:dac6c20a-b45a-5a3a-8bc7-07cea20ec309	biolink:AnatomicalEntity	Astrocyte in Watershed Area: Anterior Cerebral Artery - Middle Cerebral Artery border zone	Astrocyte in Watershed Area: Anterior Cerebral Artery - Middle Cerebral Artery border zone	KIBR; Stanford University
uuid:8afd21ff-699d-577b-a07e-1c976f4cd450	biolink:AnatomicalEntity	Astrocyte in Watershed Area: Middle Cerebral Artery - Posterior Cerebral Artery border zone	Astrocyte in Watershed Area: Middle Cerebral Artery - Posterior Cerebral Artery border zone	KIBR; Stanford University
uuid:4236bfee-9aee-5e89-b841-a3b5c784dbaf	biolink:AnatomicalEntity	Astrocyte in White Matter Watershed Area supplied by the Anterior Cerebral Artery	Astrocyte in White Matter Watershed Area supplied by the Anterior Cerebral Artery	KIBR; Stanford University
uuid:7b5608c8-8282-5a54-986e-34993861fd29	biolink:AnatomicalEntity	Endothelial in Amygdala	Endothelial in Amygdala	KIBR; Stanford University
uuid:4bc05801-30a2-57bd-bf5c-6cf864e761a9	biolink:AnatomicalEntity	Endothelial in Anterior Cerebral Artery	Endothelial in Anterior Cerebral Artery	KIBR; Stanford University
uuid:8387dc8b-aefb-5660-a88f-3ca28adc5fb7	biolink:AnatomicalEntity	Endothelial in Anterior Cingulate Cortex	Endothelial in Anterior Cingulate Cortex	KIBR; Stanford University
uuid:efe29de2-fe0c-5ce9-9314-dea3f63f3e0a	biolink:AnatomicalEntity	Endothelial in Basilar Artery / Circle of Willis	Endothelial in Basilar Artery / Circle of Willis	KIBR; Stanford University
uuid:8d5eefae-ecf7-55fc-8981-92e3857e6f09	biolink:AnatomicalEntity	Endothelial in Caudate and Putamen	Endothelial in Caudate and Putamen	KIBR; Stanford University
uuid:1f788aa7-f431-55e1-833e-69adeb01a3b5	biolink:AnatomicalEntity	Endothelial in Cerebellum	Endothelial in Cerebellum	KIBR; Stanford University
uuid:0829efbd-26b8-52a5-a123-a1b7d794d53e	biolink:AnatomicalEntity	Endothelial in Cingulum Bundle	Endothelial in Cingulum Bundle	KIBR; Stanford University
uuid:1cffeae2-fcc8-59e1-9144-91a0aca05847	biolink:AnatomicalEntity	Endothelial in Corpus Callosum	Endothelial in Corpus Callosum	KIBR; Stanford University
uuid:7f1fc72d-267f-56b7-8e80-c20867d4fd7a	biolink:AnatomicalEntity	Endothelial in Cuneus	Endothelial in Cuneus	KIBR; Stanford University
uuid:6f30b0f1-4da4-5bfc-873f-338637942131	biolink:AnatomicalEntity	Endothelial in Dorsolateral Prefrontal Cortex	Endothelial in Dorsolateral Prefrontal Cortex	KIBR; Stanford University
uuid:ac23eda1-6cd9-5e66-9e4b-7c33cf1c5e09	biolink:AnatomicalEntity	Endothelial in Entorhinal Cortex	Endothelial in Entorhinal Cortex	KIBR; Stanford University
uuid:33a697fe-9410-537e-a9c1-7728653992be	biolink:AnatomicalEntity	Endothelial in Fornix	Endothelial in Fornix	KIBR; Stanford University
uuid:5aadde4c-3075-5df3-b004-91cbb8933027	biolink:AnatomicalEntity	Endothelial in Fusiform Gyrus	Endothelial in Fusiform Gyrus	KIBR; Stanford University
uuid:e5930813-3b60-5dbb-bea9-5c0c9a537efe	biolink:AnatomicalEntity	Endothelial in Hippocampus and Entorhinal Cortex	Endothelial in Hippocampus and Entorhinal Cortex	KIBR; Stanford University
uuid:d5032b3e-fc07-5d29-b709-df5bc08edcac	biolink:AnatomicalEntity	Endothelial in Inferior Frontal Gyrus	Endothelial in Inferior Frontal Gyrus	KIBR; Stanford University
uuid:b3c48c51-da78-5de3-a46f-db3a99dcd24f	biolink:AnatomicalEntity	Endothelial in Inferior Parietal Lobule / Supramarginal Gyrus	Endothelial in Inferior Parietal Lobule / Supramarginal Gyrus	KIBR; Stanford University
uuid:075b648a-92ed-50d3-9fb3-8ae5a2804c1f	biolink:AnatomicalEntity	Endothelial in Inferior Temporal Gyrus	Endothelial in Inferior Temporal Gyrus	KIBR; Stanford University
uuid:ddfd8480-c404-5fc9-bd9d-eadf0c483631	biolink:AnatomicalEntity	Endothelial in Insular Cortex	Endothelial in Insular Cortex	KIBR; Stanford University
uuid:5ec9fdd7-1299-58ff-b233-09a92fc4a4fa	biolink:AnatomicalEntity	Endothelial in Lateral Occipital Cortex	Endothelial in Lateral Occipital Cortex	KIBR; Stanford University
uuid:a76d594d-8561-5f42-804d-b83b0cd2f9c0	biolink:AnatomicalEntity	Endothelial in Lateral Temporal Gyrus	Endothelial in Lateral Temporal Gyrus	KIBR; Stanford University
uuid:fd51ae43-a6c8-50f0-9c3a-56f49900d913	biolink:AnatomicalEntity	Endothelial in Leptomeninges	Endothelial in Leptomeninges	KIBR; Stanford University
