id	category	name
uuid:23d32ce1-b900-550f-9782-e92954957b5b	biolink:Gene	MALAT1
uuid:2baf7e16-fc41-520f-b8f3-0d52b34d4a6d	biolink:Gene	PCDH9
uuid:d6ec7f27-8a8e-5491-96f7-4951dbadac01	biolink:Gene	DPP10
uuid:0e27930d-8d6f-51a9-92eb-289c035f692f	biolink:Gene	DSCAM
uuid:a91b74dd-7c12-5802-b64f-17e14e477282	biolink:Gene	MACF1
uuid:426c0f03-0e90-5653-8381-871200a89f3b	biolink:Gene	LUC7L3
uuid:0703a762-6275-5246-93dd-4cd234d5ec6a	biolink:Gene	FRMD4A
uuid:9a18b46d-74da-5fb1-9272-b596ad1684aa	biolink:Gene	PTPRG
uuid:031bd3b8-a035-5cd8-8917-e879fd4c4331	biolink:Gene	TNR
uuid:4e1801eb-f834-5ee4-b146-ac410a6333c9	biolink:Gene	ATP10A
uuid:f9c85d3b-09dc-5173-be84-9d8dc47cc22e	biolink:Gene	LSAMP
uuid:5eabe434-a5b5-5308-bfaa-44ae5ce0019e	biolink:Gene	IL1RAPL1
uuid:a9bb2f63-6653-59df-abfb-c7948ff74b4f	biolink:Gene	KCNIP4
uuid:7312e0ed-45e7-5141-b271-ae60188260a5	biolink:Gene	DST
uuid:23f5d5f9-1eef-5890-a055-ea98707c6c0c	biolink:Gene	RORA
uuid:77a287f3-5f25-5bb2-8586-72a7d0699e5b	biolink:Gene	NRXN1
uuid:e7c92d42-481d-5d36-b1ae-66774f4c5ca9	biolink:Gene	RNF220
uuid:0ee9e459-9b70-570d-b32d-a737012f214a	biolink:Gene	LRP1B
uuid:f98514a2-26ab-5811-b4a6-66d42c7540f2	biolink:Gene	RBM25
uuid:6353a6b7-57ae-5b05-9d15-a547c32e268b	biolink:Gene	DLG2
uuid:8b572bfd-d554-5d52-b818-437cd569e590	biolink:Gene	LHFPL3
uuid:f673ba50-6761-59b8-b63b-1db4324fdbd5	biolink:Gene	HSP90AA1
uuid:eed4cf83-cd85-539c-8232-83d711e591d2	biolink:Gene	FLT1
uuid:693ec3a3-6c31-52dc-beec-4c72212dd387	biolink:Gene	LRRC4C
uuid:116979ae-0d67-55b8-b25b-511bc1cdf98b	biolink:Gene	QKI
uuid:87b0ead1-cc85-5834-951f-cb83902e20d2	biolink:Gene	OPCML
uuid:28d5c9a3-7510-550d-a766-42825d38fc40	biolink:Gene	MMD2
uuid:5d6c32af-61fb-5124-933c-f628126ee46a	biolink:Gene	LAMA2
uuid:4da1bfcb-ff3f-5237-a3bb-4c0c344ebd4c	biolink:Gene	CSMD1
uuid:2c2247ef-91d9-5a9d-9602-35166601e085	biolink:Gene	PPP2R2B
uuid:096a8b60-2680-531d-a1df-c67f103d98cf	biolink:Gene	MT-ND4
uuid:d5eada63-c446-5bf4-b81d-057c9b819e9a	biolink:Gene	ARGLU1
uuid:389fbfaa-5979-5793-ab70-a14827f1e104	biolink:Gene	CTNNA2
uuid:c12d4adb-2318-5983-913b-739a8aad9f39	biolink:Gene	PLXDC2
uuid:ff7a90e8-f449-5323-ba54-8b1926b799d1	biolink:Gene	MT-CO2
uuid:a59113b8-6786-5414-adde-580e8dbd65a4	biolink:Gene	DLC1
uuid:978310f5-409b-5f02-9e93-b0a9f4aadbea	biolink:Gene	PRRC2C
uuid:2bc43487-0620-5ec1-991b-8157cc8cc8d1	biolink:Gene	ANKS1B
uuid:27a99ef8-5b25-5c9a-bcdc-2a77c6eb2af2	biolink:Gene	ST6GALNAC3
uuid:64d70110-e6cf-5c6d-9728-d48742256338	biolink:Gene	CADM2
uuid:a41ba83c-dec0-5349-8467-9984cb3af600	biolink:Gene	NTM
uuid:ae92e01c-dd92-5d4e-bf4c-d14d46b267ba	biolink:Gene	SLC6A1
uuid:353c2c38-0640-599a-962f-cf783e6a2035	biolink:Gene	DOCK4
uuid:8fbeec7c-3f2c-5c38-b265-f81b8294be26	biolink:Gene	LINC00486
uuid:c5c77997-b70f-529f-a419-cfbb9da5d90b	biolink:Gene	LRMDA
uuid:fd2d42a1-c5b1-5421-927f-72f4287f008f	biolink:Gene	CTNNA3
uuid:5df3f365-067d-52ac-82bc-354a0a92a36d	biolink:Gene	XYLT1
uuid:db3645f6-6f41-5822-a892-c9a5e2ff46ae	biolink:Gene	NPAS3
uuid:e2116e7f-e283-57e9-8d2d-6025ca63a42a	biolink:Gene	SLC44A1
uuid:67e9aabc-ade5-5147-8842-45e9ad0bffed	biolink:Gene	KAZN
uuid:9a811f7f-f656-5e8c-bee0-b8c1db69de47	biolink:Gene	NEAT1
